team_id,position,goals_actual,assists_actual,yellow_cards_actual,red_cards_actual,minutes_actual,starting_eleven_actual,substituted_in_actual,on_bench_actual,suspended_actual,injured_actual,absence_actual,number_of_matches_actual,minutes_predicted,yellow_cards_predicted,red_cards_predicted,starting_eleven_predicted,substituted_in_predicted,on_bench_predicted,suspended_predicted,injured_predicted,absence_predicted,number_of_matches_predicted,goals_predicted,assists_predicted,minutes_error,yellow_cards_error,red_cards_error,goals_error,assists_error,starting_eleven_error,substituted_in_error,on_bench_error,suspended_error,injured_error,absence_error,number_of_matches_error
3556,Goalkeeper,,,0.0,0.0,270.0,3.0,0.0,6.0,0.0,0.0,0.0,3,400,0,0,4,0,8,0,0,0,5,,,-130.0,0.0,0.0,,,-1.0,0.0,-2.0,0.0,0.0,0.0,-2
3556,Midfield,1.0,0.0,3.0,0.0,1090.0,13.0,6.0,3.0,0.0,2.0,0.0,3,1541,3,0,16,6,10,0,0,0,5,3.0,2.0,-451.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-7.0,0.0,2.0,0.0,-2
3376,Attack,1.0,0.0,1.0,0.0,873.0,9.0,9.0,6.0,0.0,0.0,0.0,4,1253,2,0,13,6,9,0,0,0,5,3.0,2.0,-380.0,-1.0,0.0,-2.0,-2.0,-4.0,3.0,-3.0,0.0,0.0,0.0,-1
3376,Defense,1.0,1.0,3.0,0.0,1546.0,17.0,4.0,18.0,1.0,0.0,0.0,4,1925,4,0,20,5,15,0,1,0,5,2.0,3.0,-379.0,-1.0,0.0,-1.0,-2.0,-3.0,-1.0,3.0,1.0,-1.0,0.0,-1
3376,Goalkeeper,,,1.0,0.0,360.0,4.0,0.0,8.0,0.0,0.0,0.0,4,461,0,0,5,0,9,0,0,0,5,,,-101.0,1.0,0.0,,,-1.0,0.0,-1.0,0.0,0.0,0.0,-1
3376,Midfield,1.0,1.0,4.0,0.0,1182.0,14.0,7.0,7.0,0.0,0.0,0.0,4,1410,3,0,15,5,10,0,0,0,5,2.0,2.0,-228.0,1.0,0.0,-1.0,-1.0,-1.0,2.0,-3.0,0.0,0.0,0.0,-1
3561,Attack,0.0,1.0,3.0,0.0,624.0,7.0,7.0,3.0,1.0,0.0,0.0,3,823,2,0,9,5,6,0,0,0,4,2.0,1.0,-199.0,1.0,0.0,-2.0,0.0,-2.0,2.0,-3.0,1.0,0.0,0.0,-1
3561,Defense,0.0,0.0,1.0,0.0,1080.0,12.0,0.0,15.0,0.0,0.0,0.0,3,1423,3,0,15,2,10,0,0,0,4,1.0,1.0,-343.0,-2.0,0.0,-1.0,-1.0,-3.0,-2.0,5.0,0.0,0.0,0.0,-1
3561,Goalkeeper,,,0.0,0.0,270.0,3.0,0.0,6.0,0.0,0.0,0.0,3,330,0,0,3,0,7,0,0,0,4,,,-60.0,0.0,0.0,,,0.0,0.0,-1.0,0.0,0.0,0.0,-1
3561,Midfield,3.0,0.0,3.0,0.0,996.0,11.0,5.0,8.0,0.0,0.0,0.0,3,1363,3,0,15,4,10,0,0,0,4,1.0,1.0,-367.0,0.0,0.0,2.0,-1.0,-4.0,1.0,-2.0,0.0,0.0,0.0,-1
3588,Attack,0.0,0.0,2.0,0.0,1150.0,12.0,7.0,9.0,0.0,0.0,0.0,4,985,2,0,11,6,9,0,0,0,4,3.0,1.0,165.0,0.0,0.0,-3.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
3588,Defense,2.0,0.0,8.0,0.0,1882.0,20.0,3.0,8.0,1.0,0.0,0.0,4,1035,3,0,12,2,8,0,0,0,4,1.0,1.0,847.0,5.0,0.0,1.0,-1.0,8.0,1.0,0.0,1.0,0.0,0.0,0
3588,Goalkeeper,,,0.0,0.0,390.0,4.0,0.0,8.0,0.0,0.0,0.0,4,350,0,0,4,0,7,0,0,0,4,,,40.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0
